Title,Price,Status,Img
"ნოუთბუქი FUJITSU NOTEBOOK  LIFEBOOK  U748 14.0"" FHD"" INTEL CORE  i7-8550U 8 GB 512GB SSD(LKN:U7480M0004RU)",4415,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/31/u748_5.jpg
"ნოუთბუქი ASUS VIVOBOOK  X512JA 15.6""' FHD i5-1035 8GB 512GB SSD IINTEGRATED GRAPHICS SATE GREY (X512JA-BQ147)",2607,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/37/Untitled-17__1__2zok-kh.png
"ნოუთბუქი LENOVO IDEAPAD YOGA SLIM 7 14"" TOUCH i5-1135G7  16GB 512GB SSD INTEGRATED GRAPHICS W10 DARK MOSS  (82BH0052RU)",4099,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/47/Untitled-9__1__e8xr-xc.jpg
"ნოუთბუქი LENOVO IDEAPAD YOGA SLIM 7 14""  i5-1135G7 8GB 256GB SSD INTEGRATED GRAPHICS  W10 ORCHID (82A30060RE)",3363,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/53/Untitled-23_6sbg-8a.jpg
"ნოუთბუქი LENOVO THINKBOOK 20VD0097RU I3-1115G4/8GB/256GB 14'', 1920 x 1080",2299,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/60/Untitled-8_i8j7-g0.jpg
"ნოუთბუქი LENOVO NOTEBOOK/ THINKPAD/ THINKBOOK 14"" RYZEN 3 4300U 8GB 256GB INTEGRATED GRAPHICS MINERAL GREY (20VF0035RU)",2040,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/63/Untitled-32_21i6-oj.jpg
"ნოუთბუქი LENOVO IDEAPAD YOGA SLIM 7 14""  i5-1135 8GB 256GB  SSD INTEGRATED GRAPHICS SLATE GREY W10 (82A3005XRE)",3363,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/55/Untitled-16_n9ek-uq.jpg
"ნოუთბუქი LENOVO IDEAPAD YOGA 7 14"" Touch  i5-1135G7 16GB 512GB SSD INTEGRATED GRAPHICS W10 SLATE GREY (82BH0051RU)",4099,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/62/Untitled-17_8nm7-0h.jpg
"ნოუთბუქი LENOVO IDEAPAD YOGA SLIM 7 14""  i5-1135 8GB 256GB  SSD INTEGRATED GRAPHICS DARK MOSS W10 (82A3005YRE)",3363,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/55/Untitled-15_lh20-hs.jpg
ნოუთბუქი DELL NOTEBOOK VOSTRO 5402 14  i5-1135G7 8GB 256GB SSD  INTEGRATED GRAPHICS BLACK (N3003VN5402EMEA01),2481,"
გაყიდვაშია
                                                    ",https://imart.ge/images/thumbnails/340/340/detailed/64/Untitled-2_h4m8-lm.jpg
